neuron_idx,a_j,b_j
897,-0.02179879,-0.47553937
898,0.07385876,-0.19350613
899,-0.08225274,-0.31029266
900,0.07627151,-0.18310264
901,-0.09499232,0.05493788
902,-0.12736588,0.60197531
903,-0.12461435,0.66775191
904,-0.12382514,0.09712889
905,-0.13325483,-0.37219571
906,-0.02419133,-0.92544897
907,0.15079002,-1.00000442
908,-0.01604626,-0.48118780
909,0.09943917,-0.17237360
910,0.12651203,0.35134460
911,0.15452047,-1.00000471
912,0.08356553,-0.07218481
913,-0.13040665,0.13349366
914,-0.11753341,0.14017758
915,0.14111642,-0.59495625
916,-0.10068739,-0.33338012
917,-0.10906649,0.58327677
918,-0.11809373,0.59991217
919,-0.10459766,0.08019389
920,-0.08305952,0.69296382
921,0.06522664,0.30515931
922,0.11994045,-0.11069577
923,0.01139698,-0.51024572
924,-0.05143371,-0.45729361
925,0.12127503,0.36765926
926,0.11534009,-0.57853166
927,0.11865383,-0.67093689
